POS_x,Player,Mat_x,Inns_x,NO,Runs_x,HS,Avg_x,BF,SR_x,100,50,4s,6s,POS_y,Mat_y,Inns_y,Ov,Runs_y,Wkts,BBI,Avg_y,Econ,SR_y,4w,5w
1.0,Virat Kohli,16.0,16.0,4.0,973.0,113,81.08,640.0,152.03,4.0,7.0,83.0,38.0,,,,,,,,,,,,
2.0,David Warner,17.0,17.0,3.0,848.0,93*,60.57,560.0,151.42,0.0,9.0,88.0,31.0,,,,,,,,,,,,
3.0,AB de Villiers,16.0,16.0,3.0,687.0,129*,52.84,407.0,168.79,1.0,6.0,57.0,37.0,,,,,,,,,,,,
4.0,Gautam Gambhir,15.0,15.0,2.0,501.0,90*,38.53,411.0,121.89,0.0,5.0,54.0,6.0,,,,,,,,,,,,
5.0,Shikhar Dhawan,17.0,17.0,4.0,501.0,82*,38.53,429.0,116.78,0.0,4.0,51.0,8.0,,,,,,,,,,,,
6.0,Rohit Sharma,14.0,14.0,3.0,489.0,85*,44.45,368.0,132.88,0.0,5.0,49.0,16.0,,,,,,,,,,,,
7.0,Ajinkya Rahane,14.0,14.0,3.0,480.0,74,43.63,379.0,126.64,0.0,6.0,54.0,9.0,,,,,,,,,,,,
8.0,Murali Vijay,14.0,14.0,1.0,453.0,89,34.84,364.0,124.45,0.0,5.0,50.0,10.0,,,,,,,,,,,,
9.0,Quinton de Kock,13.0,13.0,1.0,445.0,108,37.08,327.0,136.08,1.0,3.0,52.0,13.0,,,,,,,,,,,,
10.0,Suresh Raina,15.0,15.0,1.0,399.0,75,28.5,312.0,127.88,0.0,3.0,39.0,10.0,,,,,,,,,,,,
11.0,KL Rahul,14.0,12.0,3.0,397.0,68*,44.11,271.0,146.49,0.0,4.0,37.0,16.0,,,,,,,,,,,,
12.0,Robin Uthappa,15.0,15.0,0.0,394.0,72,26.26,289.0,136.33,0.0,3.0,45.0,8.0,,,,,,,,,,,,
13.0,Aaron Finch,13.0,12.0,2.0,393.0,74,39.3,299.0,131.43,0.0,5.0,45.0,11.0,,,,,,,,,,,,
14.0,Yusuf Pathan,15.0,13.0,8.0,361.0,63*,72.2,248.0,145.56,0.0,3.0,33.0,13.0,77.0,15.0,4.0,6.0,33.0,1.0,3/20,33.0,5.5,36.0,0.0,0.0
15.0,Karun Nair,14.0,12.0,2.0,357.0,83*,35.7,297.0,120.2,0.0,3.0,40.0,6.0,,,,,,,,,,,,
16.0,Brendon McCullum,16.0,16.0,0.0,354.0,60,22.12,262.0,135.11,0.0,1.0,38.0,16.0,,,,,,,,,,,,
17.0,Dinesh Karthik,16.0,15.0,2.0,335.0,53,25.76,266.0,125.93,0.0,3.0,38.0,3.0,,,,,,,,,,,,
18.0,Ambati Rayudu,13.0,12.0,1.0,334.0,65,30.36,278.0,120.14,0.0,2.0,28.0,12.0,,,,,,,,,,,,
19.0,Dwayne Smith,12.0,12.0,1.0,324.0,73,29.45,221.0,146.6,0.0,3.0,35.0,16.0,32.0,12.0,8.0,18.0,153.0,8.0,4/8,19.12,8.5,13.5,1.0,0.0
20.0,Sanju Samson,14.0,14.0,3.0,291.0,60,26.45,259.0,112.35,0.0,1.0,20.0,8.0,,,,,,,,,,,,
21.0,MS Dhoni,14.0,12.0,5.0,284.0,64*,40.57,210.0,135.23,0.0,1.0,18.0,14.0,,,,,,,,,,,,
22.0,Steve Smith,8.0,7.0,1.0,270.0,101,45.0,176.0,153.4,1.0,0.0,27.0,8.0,,,,,,,,,,,,
23.0,Wriddhiman Saha,12.0,12.0,1.0,270.0,56,24.54,212.0,127.35,0.0,2.0,29.0,1.0,,,,,,,,,,,,
24.0,Jos Buttler,14.0,14.0,3.0,255.0,41,23.18,184.0,138.58,0.0,0.0,23.0,11.0,,,,,,,,,,,,
25.0,Manish Pandey,12.0,11.0,3.0,248.0,52,31.0,183.0,135.51,0.0,2.0,17.0,9.0,,,,,,,,,,,,
26.0,Krunal Pandya,12.0,9.0,3.0,237.0,86,39.5,124.0,191.12,0.0,1.0,22.0,13.0,39.0,12.0,11.0,31.0,236.0,6.0,3/14,39.33,7.57,31.16,0.0,0.0
27.0,Yuvraj Singh,10.0,10.0,1.0,236.0,44,26.22,179.0,131.84,0.0,0.0,22.0,13.0,,,,,,,,,,,,
28.0,Chris Gayle,10.0,10.0,0.0,227.0,76,22.7,150.0,151.33,0.0,2.0,17.0,21.0,75.0,10.0,4.0,10.0,63.0,2.0,3/21,31.5,6.3,30.0,0.0,0.0
29.0,Kieron Pollard,13.0,12.0,4.0,207.0,51*,25.87,144.0,143.75,0.0,1.0,11.0,16.0,,,,,,,,,,,,
30.0,Faf du Plessis,6.0,6.0,0.0,206.0,69,34.33,162.0,127.16,0.0,2.0,17.0,9.0,,,,,,,,,,,,
31.0,Rishabh Pant,10.0,10.0,2.0,198.0,69,24.75,152.0,130.26,0.0,1.0,19.0,6.0,,,,,,,,,,,,
32.0,Chris Morris,12.0,7.0,4.0,195.0,82*,65.0,109.0,178.89,0.0,1.0,15.0,12.0,14.0,12.0,12.0,44.0,308.0,13.0,4/23,23.69,7.0,20.3,0.0,0.0
33.0,JP Duminy,10.0,8.0,3.0,191.0,49*,38.2,156.0,122.43,0.0,0.0,13.0,3.0,67.0,10.0,5.0,7.0,55.0,2.0,4/17,27.5,7.85,21.0,0.0,0.0
34.0,Ravindra Jadeja,15.0,15.0,6.0,191.0,36*,21.22,178.0,107.3,0.0,0.0,14.0,4.0,33.0,15.0,14.0,40.0,311.0,8.0,5/16,38.87,7.74,30.12,0.0,0.0
35.0,Andre Russell,12.0,8.0,1.0,188.0,39*,26.85,114.0,164.91,0.0,0.0,10.0,15.0,10.0,12.0,12.0,36.0,291.0,15.0,5/15,19.4,7.97,14.6,1.0,0.0
36.0,Suryakumar Yadav,15.0,11.0,4.0,182.0,60,26.0,143.0,127.27,0.0,1.0,18.0,5.0,,,,,,,,,,,,
37.0,Moises Henriques,17.0,15.0,3.0,182.0,31*,15.16,158.0,115.18,0.0,0.0,15.0,6.0,17.0,17.0,17.0,52.0,415.0,12.0,3/12,34.58,7.98,26.0,0.0,0.0
38.0,Glenn Maxwell,11.0,11.0,2.0,179.0,68,19.88,124.0,144.35,0.0,2.0,14.0,8.0,,,,,,,,,,,,
39.0,Shane Watson,16.0,15.0,2.0,179.0,36,13.76,134.0,133.58,0.0,0.0,14.0,12.0,3.0,16.0,16.0,56.0,485.0,20.0,4/29,24.25,8.58,16.95,1.0,0.0
40.0,Parthiv Patel,10.0,10.0,0.0,177.0,81,17.7,152.0,116.44,0.0,1.0,23.0,4.0,,,,,,,,,,,,
41.0,Saurabh Tiwary,10.0,7.0,0.0,170.0,57,24.28,141.0,120.56,0.0,2.0,17.0,4.0,,,,,,,,,,,,
42.0,Manan Vohra,7.0,7.0,0.0,161.0,51,23.0,131.0,122.9,0.0,1.0,19.0,3.0,,,,,,,,,,,,
43.0,David Miller,14.0,13.0,3.0,161.0,31,16.1,131.0,122.9,0.0,0.0,11.0,4.0,,,,,,,,,,,,
44.0,Shaun Marsh,6.0,6.0,1.0,159.0,56*,31.8,134.0,118.65,0.0,1.0,13.0,4.0,,,,,,,,,,,,
45.0,Hashim Amla,6.0,6.0,0.0,157.0,96,26.16,119.0,131.93,0.0,1.0,20.0,4.0,,,,,,,,,,,,
46.0,Thisara Perera,12.0,10.0,3.0,150.0,34,21.42,93.0,161.29,0.0,0.0,7.0,11.0,28.0,12.0,11.0,33.0,326.0,9.0,3/20,36.22,9.82,22.11,0.0,0.0
47.0,Marcus Stoinis,7.0,5.0,1.0,146.0,52,36.5,108.0,135.18,0.0,1.0,13.0,4.0,34.0,7.0,7.0,23.0,194.0,8.0,4/15,24.25,8.43,17.25,1.0,0.0
48.0,Deepak Hooda,17.0,15.0,1.0,144.0,34,10.28,121.0,119.0,0.0,0.0,9.0,5.0,59.0,17.0,6.0,13.0,97.0,3.0,2/16,32.33,7.46,26.0,0.0,0.0
49.0,Naman Ojha,17.0,13.0,3.0,136.0,37,13.6,138.0,98.55,0.0,0.0,7.0,5.0,,,,,,,,,,,,
50.0,Usman Khawaja,6.0,6.0,0.0,127.0,30,21.16,100.0,127.0,0.0,0.0,14.0,3.0,,,,,,,,,,,,
51.0,Kane Williamson,6.0,6.0,0.0,124.0,50,20.66,122.0,101.63,0.0,1.0,14.0,0.0,,,,,,,,,,,,
52.0,Eoin Morgan,7.0,6.0,1.0,123.0,51,24.6,105.0,117.14,0.0,1.0,8.0,4.0,,,,,,,,,,,,
53.0,Sachin Baby,11.0,6.0,1.0,119.0,33,23.8,79.0,150.63,0.0,0.0,9.0,5.0,70.0,11.0,2.0,1.0,8.0,2.0,2/4,4.0,4.8,5.0,0.0,0.0
54.0,Shakib Al Hasan,10.0,7.0,2.0,114.0,66*,22.8,106.0,107.54,0.0,1.0,7.0,5.0,44.0,10.0,9.0,31.0,243.0,5.0,3/17,48.6,7.83,37.2,0.0,0.0
55.0,Gurkeerat Mann Singh,7.0,6.0,1.0,113.0,51,22.6,86.0,131.39,0.0,1.0,11.0,3.0,74.0,7.0,3.0,4.0,31.0,2.0,2/15,15.5,7.75,12.0,0.0,0.0
56.0,Axar Patel,14.0,10.0,3.0,111.0,36*,15.85,77.0,144.15,0.0,0.0,4.0,8.0,12.0,14.0,14.0,48.0,388.0,13.0,4/21,29.84,8.11,22.07,1.0,0.0
57.0,Nitish Rana,4.0,3.0,0.0,104.0,70,34.66,75.0,138.66,0.0,1.0,7.0,8.0,,,,,,,,,,,,
